Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
,1,3,8.0,3,1,2,3.0,1,3.0,0,3.0,0,5,1,0.0,2,,0
45.0,1,3,16.0,2,2,4,5.0,0,5.0,1,,0,1,1,3.0,1,37868.0,1
33.0,0,3,14.0,2,1,2,4.0,0,3.0,2,1.0,0,2,1,1.0,1,17342.0,0
,0,1,11.0,2,2,2,1.0,1,5.0,1,2.0,0,5,1,1.0,2,,0
33.0,1,3,17.0,3,2,3,4.0,1,3.0,3,3.0,0,4,0,2.0,2,24074.0,0
45.0,1,3,8.0,2,2,3,6.0,1,4.0,2,8.0,0,3,0,2.0,2,21040.0,1
25.0,1,1,24.0,2,2,4,5.0,0,4.0,0,3.0,0,3,1,2.0,1,20805.0,0
45.0,0,1,13.0,2,2,3,3.0,3,5.0,1,2.0,0,2,1,2.0,3,20210.0,0
43.0,0,3,21.0,2,2,2,4.0,1,3.0,0,4.0,0,5,0,1.0,2,21804.0,0
39.0,1,3,17.0,2,1,4,4.0,1,3.0,1,3.0,0,4,0,3.0,2,24021.0,0
29.0,1,1,14.0,2,2,4,4.0,0,5.0,3,5.0,1,3,0,3.0,1,25352.0,1
29.0,0,1,6.0,2,2,3,5.0,0,3.0,1,2.0,0,1,0,2.0,1,17720.0,0
32.0,1,3,13.0,2,2,3,4.0,1,3.0,0,2.0,0,3,1,2.0,2,20484.0,0
,1,3,35.0,2,2,3,3.0,1,5.0,1,1.0,0,1,1,0.0,2,,0
33.0,1,1,6.0,2,1,2,4.0,1,3.0,3,1.0,0,4,0,0.0,2,21949.0,0
,1,1,7.0,3,2,3,3.0,0,4.0,1,1.0,1,4,1,2.0,1,18579.0,0
18.0,0,3,11.0,3,2,3,3.0,0,4.0,2,2.0,1,4,1,0.0,1,16878.0,1
40.0,1,3,16.0,3,2,3,4.0,3,4.0,1,3.0,0,4,1,1.0,3,24705.0,0
52.0,1,3,8.0,3,1,2,5.0,2,3.0,0,2.0,0,3,1,,4,34845.0,1
32.0,0,3,27.0,3,1,3,4.0,1,3.0,0,3.0,0,2,1,1.0,2,25610.0,0
41.0,1,1,15.0,2,2,3,3.0,0,5.0,1,2.0,0,5,1,1.0,1,17289.0,0
37.0,0,3,14.0,3,1,3,2.0,1,5.0,0,4.0,0,1,1,1.0,2,23317.0,0
40.0,1,1,25.0,2,2,3,4.0,1,3.0,3,2.0,0,3,0,1.0,2,23212.0,0
43.0,0,1,35.0,1,1,3,5.0,1,3.0,1,2.0,0,3,0,2.0,2,23201.0,0
27.0,1,1,7.0,3,2,4,4.0,0,5.0,3,2.0,0,5,1,3.0,1,21545.0,0
45.0,1,1,11.0,3,2,3,4.0,1,4.0,3,2.0,0,2,1,1.0,2,24611.0,0
31.0,1,1,7.0,2,2,3,6.0,0,3.0,0,5.0,0,4,1,1.0,1,22511.0,0
27.0,1,3,17.0,3,1,3,1.0,0,3.0,0,1.0,0,3,1,1.0,1,17534.0,0
34.0,1,1,25.0,3,2,3,3.0,0,3.0,1,1.0,0,3,0,2.0,1,17661.0,0
36.0,1,1,12.0,2,2,2,5.0,0,3.0,1,2.0,0,2,0,0.0,1,17741.0,0
29.0,1,1,34.0,2,1,3,3.0,0,3.0,1,5.0,0,5,0,1.0,1,17514.0,0
33.0,0,1,9.0,2,2,3,3.0,0,5.0,2,2.0,1,5,1,2.0,1,18348.0,1
35.0,1,3,28.0,2,2,4,2.0,1,3.0,3,3.0,0,3,0,1.0,2,24015.0,0
42.0,0,1,,2,1,3,3.0,1,3.0,1,3.0,0,3,1,2.0,2,19556.0,0
38.0,1,1,32.0,3,1,3,5.0,1,3.0,1,2.0,0,3,0,2.0,2,24409.0,0
28.0,1,1,12.0,1,2,3,5.0,3,3.0,1,3.0,1,3,1,2.0,3,31486.0,0
36.0,0,1,24.0,3,1,3,3.0,0,3.0,2,2.0,0,3,1,2.0,1,17153.0,0
30.0,1,1,14.0,3,1,4,5.0,0,3.0,1,8.0,0,5,1,1.0,1,21210.0,0
40.0,0,3,34.0,2,2,2,5.0,3,5.0,1,4.0,0,5,1,0.0,3,25932.0,0
30.0,1,1,7.0,2,1,4,4.0,0,3.0,1,3.0,0,2,0,3.0,1,22438.0,0
,1,1,14.0,3,1,3,3.0,0,5.0,1,2.0,1,3,0,2.0,1,,1
34.0,1,1,15.0,2,2,4,4.0,1,3.0,3,4.0,1,3,0,3.0,2,25066.0,0
51.0,0,1,6.0,3,1,1,4.0,3,5.0,3,4.0,0,2,1,0.0,3,22484.0,0
48.0,1,2,33.0,2,1,4,4.0,2,,1,5.0,0,4,1,2.0,4,38336.0,0
57.0,1,1,14.0,1,2,4,4.0,0,3.0,1,2.0,0,4,1,3.0,1,21017.0,1
42.0,0,1,,1,1,2,4.0,1,3.0,1,1.0,0,3,0,1.0,2,19523.0,0
40.0,1,1,30.0,1,2,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,18319.0,0
32.0,1,1,11.0,3,1,4,2.0,0,3.0,1,2.0,0,5,1,3.0,1,22656.0,0
43.0,1,1,36.0,3,2,3,6.0,1,3.0,3,6.0,0,3,1,1.0,2,22950.0,0
56.0,1,1,15.0,3,2,2,3.0,4,3.0,0,1.0,0,4,0,0.0,0,26103.0,0
36.0,1,3,9.0,3,1,3,4.0,3,3.0,1,1.0,0,3,1,0.0,3,22644.0,0
28.0,0,1,6.0,3,2,2,4.0,0,4.0,1,2.0,0,4,1,0.0,1,17596.0,1
37.0,1,1,9.0,2,1,4,4.0,0,3.0,0,6.0,0,5,1,1.0,1,21221.0,0
27.0,0,1,9.0,2,2,3,4.0,0,5.0,1,8.0,1,5,0,1.0,1,20720.0,1
33.0,1,1,6.0,3,1,3,1.0,4,3.0,1,5.0,0,1,1,0.0,0,31184.0,0
,1,3,9.0,2,2,3,3.0,1,5.0,0,2.0,1,4,1,0.0,2,,0
41.0,1,1,27.0,1,2,4,4.0,3,3.0,1,6.0,0,3,1,2.0,3,29000.0,0
49.0,1,1,6.0,1,1,2,4.0,4,3.0,2,1.0,1,3,1,0.0,0,28964.0,0
52.0,1,1,15.0,2,2,3,5.0,3,4.0,1,7.0,0,3,1,2.0,3,31168.0,0
33.0,0,1,20.0,2,1,4,5.0,0,4.0,1,3.0,0,5,1,1.0,1,21421.0,0
,1,3,29.0,3,1,2,4.0,1,3.0,1,2.0,0,1,1,1.0,2,18540.0,0
60.0,0,3,34.0,3,1,3,4.0,3,5.0,0,5.0,0,2,1,0.0,3,25266.0,0
51.0,0,3,7.0,2,2,3,4.0,1,3.0,3,5.0,1,2,0,1.0,2,23406.0,1
59.0,0,2,8.0,2,1,2,4.0,2,3.0,0,1.0,0,2,1,1.0,4,33844.0,0
43.0,1,1,7.0,2,1,3,5.0,1,3.0,0,2.0,1,3,0,2.0,2,24740.0,0
38.0,1,1,9.0,1,1,2,3.0,1,3.0,2,4.0,1,5,0,0.0,2,1000.0,0
52.0,1,1,6.0,2,2,3,3.0,4,3.0,1,3.0,0,1,1,2.0,0,32099.0,0
46.0,1,2,31.0,3,2,3,4.0,0,4.0,2,3.0,0,4,0,1.0,1,20855.0,0
46.0,1,3,15.0,3,2,3,4.0,3,3.0,3,2.0,0,5,0,1.0,3,24619.0,1
25.0,1,1,30.0,3,2,3,3.0,0,3.0,0,3.0,1,4,0,2.0,1,21403.0,0
54.0,1,3,8.0,2,1,2,4.0,3,3.0,1,7.0,0,5,1,1.0,3,25686.0,0
39.0,0,2,9.0,2,2,4,4.0,0,4.0,1,7.0,0,3,1,3.0,1,21270.0,0
36.0,1,3,9.0,2,2,2,4.0,3,3.0,1,2.0,1,1,1,0.0,3,25325.0,1
36.0,1,1,30.0,2,2,3,5.0,1,3.0,0,5.0,1,4,1,2.0,2,24594.0,1
24.0,0,1,13.0,2,1,2,3.0,0,3.0,1,2.0,1,4,0,0.0,1,17886.0,1
,0,1,24.0,2,2,2,1.0,0,3.0,1,5.0,0,5,1,1.0,1,18688.0,0
51.0,1,1,7.0,3,2,4,4.0,4,3.0,1,,0,5,0,3.0,0,36077.0,0
33.0,0,3,,2,1,1,3.0,1,4.0,1,1.0,0,4,0,0.0,2,,0
49.0,0,1,14.0,2,2,3,4.0,1,4.0,0,2.0,0,3,1,2.0,2,20130.0,0
43.0,1,1,16.0,2,2,4,5.0,2,3.0,2,2.0,0,1,1,2.0,4,38291.0,0
31.0,0,1,16.0,3,2,3,4.0,0,5.0,3,4.0,1,3,0,2.0,1,23373.0,1
,1,1,6.0,2,2,2,4.0,0,3.0,1,2.0,1,1,1,1.0,1,18622.0,0
33.0,0,1,23.0,2,1,4,6.0,0,5.0,3,3.0,1,4,0,1.0,1,22597.0,1
29.0,1,1,15.0,2,1,4,4.0,0,3.0,3,3.0,0,4,1,2.0,1,21988.0,0
36.0,1,1,29.0,2,1,4,3.0,3,4.0,1,2.0,0,5,1,2.0,3,30674.0,0
45.0,1,3,12.0,3,2,3,4.0,2,4.0,0,,0,5,1,2.0,4,36891.0,0
30.0,1,3,35.0,1,2,2,3.0,3,4.0,1,4.0,0,4,0,1.0,3,24250.0,0
50.0,0,1,35.0,2,2,4,5.0,1,5.0,3,5.0,0,3,0,2.0,2,22962.0,1
33.0,1,3,22.0,3,1,3,3.0,1,5.0,2,6.0,0,3,1,0.0,2,20324.0,1
59.0,1,1,9.0,2,2,3,4.0,0,3.0,1,4.0,0,3,0,0.0,1,17177.0,0
37.0,1,1,13.0,2,2,3,6.0,0,3.0,1,3.0,0,2,0,1.0,1,21419.0,0
49.0,1,1,7.0,2,1,3,5.0,4,5.0,0,2.0,0,4,0,2.0,0,34080.0,0
28.0,0,1,7.0,1,2,3,5.0,1,5.0,1,7.0,0,3,1,1.0,2,22976.0,0
36.0,1,2,15.0,1,2,4,4.0,0,3.0,3,3.0,0,5,0,2.0,1,23001.0,0
50.0,0,1,6.0,2,1,3,3.0,2,4.0,1,4.0,1,1,0,2.0,4,33172.0,0
43.0,1,1,13.0,3,2,3,4.0,3,5.0,1,2.0,0,3,1,1.0,3,32026.0,0
51.0,1,1,14.0,2,2,2,4.0,3,4.0,0,6.0,0,3,1,1.0,3,27490.0,0
46.0,1,1,,2,1,3,4.0,1,5.0,1,1.0,1,2,1,2.0,2,19615.0,0
33.0,0,1,6.0,3,2,2,4.0,0,3.0,1,2.0,0,3,0,0.0,1,17008.0,0
49.0,0,1,11.0,3,2,3,5.0,4,3.0,1,4.0,0,5,1,2.0,0,33880.0,0
26.0,1,3,14.0,1,2,2,4.0,1,5.0,2,7.0,0,3,0,0.0,2,20326.0,1
29.0,1,1,24.0,3,2,4,4.0,1,5.0,1,3.0,0,2,0,1.0,2,23236.0,0
25.0,1,3,10.0,2,1,4,4.0,1,3.0,3,2.0,0,1,1,2.0,2,23255.0,1
44.0,1,3,11.0,3,1,3,5.0,3,3.0,2,5.0,0,3,1,1.0,3,28909.0,0
37.0,1,3,9.0,2,1,3,4.0,1,3.0,3,5.0,0,4,1,2.0,2,23180.0,0
28.0,0,3,10.0,3,2,2,3.0,1,3.0,1,2.0,0,1,0,0.0,2,,0
50.0,1,1,17.0,2,1,2,3.0,2,4.0,2,4.0,0,5,1,,4,34926.0,0
53.0,1,1,7.0,2,2,4,4.0,4,3.0,1,,0,1,1,3.0,0,35777.0,0
26.0,1,1,7.0,1,2,3,4.0,0,3.0,0,6.0,0,5,1,2.0,1,21907.0,0
49.0,0,3,31.0,2,2,4,6.0,0,3.0,2,3.0,1,1,1,3.0,1,21237.0,1
29.0,1,1,13.0,2,2,2,3.0,0,5.0,2,4.0,0,4,0,0.0,1,17062.0,0
,0,1,30.0,3,2,2,5.0,0,3.0,2,3.0,0,3,0,0.0,1,18708.0,0
37.0,1,3,12.0,3,2,3,3.0,1,3.0,0,5.0,0,3,0,0.0,2,21502.0,0
29.0,1,1,8.0,2,2,3,3.0,0,4.0,0,1.0,0,4,0,0.0,1,17703.0,0
30.0,1,3,27.0,3,2,3,4.0,1,3.0,1,4.0,0,1,1,1.0,2,25609.0,0
34.0,1,3,13.0,1,2,2,3.0,0,3.0,1,1.0,1,1,0,1.0,1,17308.0,0
31.0,1,1,,3,1,2,3.0,1,5.0,0,2.0,0,2,1,0.0,2,,0
34.0,1,3,14.0,2,1,3,3.0,1,5.0,0,6.0,0,2,1,0.0,2,21500.0,0
27.0,1,1,8.0,1,2,2,3.0,0,4.0,1,2.0,0,4,1,1.0,1,17226.0,0
36.0,0,1,8.0,3,2,4,4.0,0,4.0,1,3.0,1,3,1,1.0,1,22927.0,1
33.0,1,1,12.0,2,2,4,2.0,0,4.0,1,2.0,1,1,1,3.0,1,21976.0,0
38.0,0,1,9.0,2,2,4,5.0,1,3.0,1,7.0,0,2,0,2.0,2,23841.0,0
36.0,1,1,15.0,2,2,3,2.0,0,3.0,1,3.0,0,5,1,2.0,1,20947.0,0
45.0,1,1,36.0,2,2,3,4.0,1,3.0,3,3.0,0,5,1,2.0,2,23219.0,0
39.0,1,1,9.0,3,2,4,4.0,0,3.0,0,8.0,1,4,0,1.0,1,21735.0,0
27.0,0,1,7.0,3,1,4,5.0,0,3.0,1,3.0,0,1,0,1.0,1,20685.0,0
56.0,1,2,33.0,2,2,4,2.0,2,,1,6.0,1,5,1,3.0,4,38314.0,0
32.0,0,3,7.0,2,1,3,4.0,0,4.0,2,3.0,1,5,1,2.0,1,20980.0,1
26.0,1,3,10.0,3,2,2,4.0,1,3.0,2,2.0,1,1,1,0.0,2,20828.0,1
,1,1,9.0,3,2,3,3.0,0,5.0,1,6.0,0,5,1,1.0,1,,1
30.0,1,1,22.0,2,2,2,1.0,1,3.0,1,4.0,0,1,1,0.0,2,20294.0,0
60.0,1,1,9.0,2,1,4,5.0,4,3.0,2,5.0,1,5,1,1.0,0,32404.0,0
,1,1,13.0,1,1,2,1.0,0,3.0,1,2.0,0,3,0,0.0,1,18376.0,0
30.0,1,1,16.0,2,2,2,5.0,0,3.0,3,2.0,0,2,1,1.0,1,22661.0,0
39.0,1,1,,1,1,3,4.0,1,3.0,2,2.0,0,2,1,0.0,2,19553.0,0
31.0,1,3,17.0,3,2,4,5.0,1,3.0,0,3.0,0,2,1,1.0,2,25256.0,0
54.0,1,3,7.0,3,0,3,4.0,1,5.0,3,2.0,0,2,1,2.0,2,27059.0,0
36.0,1,1,8.0,2,1,3,3.0,0,3.0,0,5.0,0,5,1,0.0,1,17543.0,0
